Schluessel,Bezeichnung,Gesetz,Paragraf
'62','Vorstehende Außenkanten','StVZO','§ 30 c'
'63','Verantwortung für den Betrieb der Fahrzeuge','StVZO','§ 31'
'64','Verantwortung für den Betrieb der Fahrzeuge','StVZO','§ 31, § 31 a, § 31 b, § 31 c'
'65','Abmessungen von Fahrzeugen und Fahrzeugkombinationen','StVZO','§ 32'
'66','Unterfahrschutz','StVZO','§ 32 b'
'67','Seitliche Schutzvorrichtungen','StVZO','§ 32 c'
'68','Schleppen von Fahrzeugen','StVZO','§ 33'
'69','Achslast und Gesamtgewicht','StVZO','§ 34'
'70','Besetzung von Kraftomnibussen','StVZO','§ 34 a'
'71','Sitze','StVZO','§ 35 a'
'72','Feuerlöscher in Kraftomnibussen','StVZO','§ 35 g'
'73','Erst-Hilfe-Material in Kraftfahrzeugen','StVZO','§ 35 h'
'74','Bereifung und Laufflächen','StVZO','§ 36'
'75','Lenkung','StVZO','§ 38'
'76','Sicherung von Kfz gegen unbefugte Benutzung','StVZO','§ 38 a'
'77','Bremsen und Unterlegkeile','StVZO','§ 41'
'78','Anhängelast hinter Kraftfahrzeugen','StVZO','§ 42_'
'79','Mitführen von Anhängern hinter Kraftrad oder Pkw','StVZO','§ 42_'
'80','Einrichtungen zur Verbindung von Kraftfahrzeugen','StVZO','§ 43'
'81','Stützlast','StVZO','§ 44'
'82','Abgasuntersuchung','StVZO','§ 47 a'
'83','Ableitung von Abgasen','StVZO','§ 47 c'
'84','Geräuschentwicklung und Schalldämpferanlage','StVZO','§ 49'
'85','Lichttechnische Einrichtungen','StVZO','§ 49 a'
'86','Scheinwerfer für Fern- und Abblendlicht','StVZO','§ 50'
'87','Begrenzungsleuchten, vordere Rückstrahler','StVZO','§ 51'
'88','Seitliche Kenntlichmachung','StVZO','§ 51 a'
'89','Umrißleuchten','StVZO','§ 51 b'
'90','Parkleuchten, Park-Warntafeln','StVZO','§ 51 c'
'91','Zusätzliche Scheinwerfer und Leuchten','StVZO','§ 52'
'92','Rückfahrscheinwerfer','StVZO','§ 52 a'
'93','Warndreieck, Warnleuchte, Warnblinkanlage','StVZO','§ 53 a, § 53 b'
'94','Nebelschlußleuchten','StVZO','§ 53 d'
'95','Vorrichtungen für Schallzeichen','StVZO','§ 55_'
'96','Rückspiegel und andere Spiegel','StVZO','§ 56'
'97','Fahrtschreiber und Kontrollgeräte','StVZO','§ 47 b'
'98','Ausgestaltung und Anbringung der amtl. Kennzeichen','StVZO','§ 60, § 60 a'
'99','Einrichtungen für Schallzeichen an Fahrrädern','StVZO','§ 64 a'
'100','Lichttechnische Einrichtungen an Fahrrädern','StVZO','§ 67'
'101','Auflagen bei Ausnahmegenehmigungen','StVZO','§ 71'
'102','Ferienreiseverordnung','Ferienreiseverordng','§ 1, § 5'
'103','Alkohol','StVG','§ 24 a'
'104','Verordnung über Internationalen Kraftfahrzeugverkehr','IntKfzV','§ 14'
'105','Straßenverkehrsgesetz','StVG','§ 24a_'
'106','Sonstige Ordnungswidrigkeiten','diverse','diverse'
'107','Rauschmittel','StVG','§ 24 a'
'108','Sonstige Ordnungswidrigkeiten','AusländerG.','diverse'
'109','Sonstige Ordnungswidrigkeiten','Nds. MeldeG','diverse'
'110','Sonstige Ordnungswidrigkeiten','BSHG','diverse'
'111','Sonstige Ordnungswidrigkeiten','WoGG','diverse'
'112','Sonstige Ordnungswidrigkeiten','Nds. StraßenG','diverse'
'113','Sonstige Ordnungswidrigkeiten','OWiG','diverse'
'114','Sonstige Ordnungswidrigkeiten','Nds. Sammlungsgesetz','diverse'
'115','Sonstige Ordnungswidrigkeiten','KrW-/AbfG','diverse'
'116','Sonstige Ordnungswidrigkeiten','Pflegevers.(SGB XI)','diverse'
'117','Eingeschränkte Zulassung FeV','Fahrerlaubnisverord.','§ 2'
'118','Einschränkung und Entziehung der Zulassung','Fahrerlaubnisverordn','§ 3 Abs. 1'
'119','Erlaubnis- und Ausweispflicht für das Führen von Kfz - FeV','Fahrerlaubnisverord.','§ 4 Abs. 2'
'120','Sonderbest. für das Führen v. Mofas und motor. Krankenfahrst','Fahrerlaubnisverordn','§ 5'
'121','Mindestalter der Kraftfahrzeugführer','Fahrerlaubnisverord.','§ 10 Abs. 3'
'122','Geltungsdauer der Fahrerlaubnis, Beschränkungen und Auflagen','Fahrerlaubnisverordn','§ 23'
'123','Ausfertigung des Führerscheins','Fahrerlaubnisverord.','§ 25'
'124','Sonderbestimmung für Inhaber ausländischer Fahrerlaubnisse','Fahrerlaubnisverordn','§ 28, § 29'
'125','Entziehung, Beschränkung, Auflagen','Fahrerlaubnisverord.','§ 46, § 47'
'126','Fahrerlaubnis zur Fahrgastbeförderung','Fahrerlaubnisverordn','§ 48'
'127','Ausnahmen FeV','Fahrerlaubnisverord.','§ 74'
'128','Sonstige Ordnungswidrigkeiten','VO öffentl. Sicherh.','diverse'
'129','Erteilung und Wirksamkeit der Betriebserlaubnis','StVZO','§ 19'
'130','Kreisverkehr','StVO','§ 9 a Abs. 1, 2'
'150','Sonstige Ordnungswidrigkeiten','Asylverfahrensgesetz','diverse'
'151','Sonstige Ordnungswidrigkeiten','Aufenthaltsges./EWG','diverse'
'152','Sonstige Ordnungswidrigkeiten','Paßgesetz','diverse'
'153','Sonstige Ordnungswidrigkeiten','Personalausweisges.','diverse'
'154','Sonstige Ordnungswidrigkeiten','Personenstandsgesetz','diverse'
'155','Sonstige Ordnungswidrigkeiten','Bundesbaugesetz','diverse'
'156','Sonstige Ordnungswidrigkeiten','Nds. Bauordnung','diverse'
'157','Sonstige Ordnungswidrigkeiten','Denkmalschutzgesetz','diverse'
'158','Sonstige Ordnungswidrigkeiten','Flurbereinigungsges.','diverse'
'159','Sonstige Ordnungswidrigkeiten','Wohnungsbindungsges.','diverse'
'160','Sonstige Ordnungswidrigkeiten','Wohnnungsverm.-Ges.','diverse'
'161','Sonstige Ordnungswidrigkeiten','Gewerbeordnung','diverse'
'162','Sonstige Ordnungswidrigkeiten','Handwerksordnung','diverse'
'163','Sonstige Ordnungswidrigkeiten','Gaststättengesetz','diverse'
'164','Sonstige Ordnungswidrigkeiten','Sperrzeitverordnung','diverse'
'165','Sonstige Ordnungswidrigkeiten','Ladenschlußgesetz','diverse'
'166','Sonstige Ordnungswidrigkeiten','Nds. Feiertagsgesetz','diverse'
'167','Sonstige Ordnungswidrigkeiten','Wirtschaftsstrafges.','diverse'
'168','Sonstige Ordnungswidrigkeiten','Schwarzarbeitsges.','diverse'
'169','Sonstige Ordnungswidrigkeiten','Rabattgesetz','diverse'
'170','Sonstige Ordnungswidrigkeiten','Makler- u. Bautr.-V.','diverse'
'171','Sonstige Ordnungswidrigkeiten','Betriebsverf.-Ges.','diverse'
'172','Sonstige Ordnungswidrigkeiten','Lebensm.- u. Bedarfs','diverse'
'173','Sonstige Ordnungswidrigkeiten','Fleischhygienev.','diverse'
'174','Sonstige Ordnungswidrigkeiten','Hygien.f.Lebensm.','diverse'
'175','Sonstige Ordnungswidrigkeiten','Lebensmittelkennz.','diverse'
'176','Sonstige Ordnungswidrigkeiten','Preisangabenverordn.','diverse'
'177','Sonstige Ordnungswidrigkeiten','Nds. Schulgesetz','diverse'
'178','Sonstige Ordnungswidrigkeiten','Berufsausbildungsf.','diverse'
'179','Sonstige Ordnungswidrigkeiten','Jugendschutzgesetz','diverse'
'180','Sonstige Ordnungswidrigkeiten','Jugendarbeitsschutz','diverse'
'181','Sonstige Ordnungswidrigkeiten','Sozialgesetzbuch','diverse'
'182','Sonstige Ordnungswidrigkeiten','Mutterschutzgesetz','diverse'
'183','Sonstige Ordnungswidrigkeiten','Heimgesetz','diverse'
'184','Sonstige Ordnungswidrigkeiten','Asylbewerberleistung','diverse'
'185','Sonstige Ordnungswidrigkeiten','Unterhaltsvorschuß','diverse'
'186','Sonstige Ordnungswidrigkeiten','GefahrenabwehrVO','diverse'
'187','Sonstige Ordnungswidrigkeiten','Bauwesen','diverse'
'188','Sonstige Ordnungswidrigkeiten','Gewerbe und Märkte','diverse'
'189','Sonstige Ordnungswidrigkeiten','Natur und Umwelt','diverse'
'190','Sonstige Ordnungswidrigkeiten','Straßen und Plätze','diverse'
'191','Sonstige Ordnungswidrigkeiten','Verkehr','diverse'
'192','Sonstige Ordnungswidrigkeiten','Bundesimmisionssch.','diverse'
'193','Sonstige Ordnungswidrigkeiten','Nds. Naturschutzges.','diverse'
'194','Sonstige Ordnungswidrigkeiten','Pflanzenschutzgesetz','diverse'
'195','Sonstige Ordnungswidrigkeiten','Wasserhaushaltsver.','diverse'
'196','Sonstige Ordnungswidrigkeiten','Personenbeförderung','diverse'
'197','Sonstige Ordnungswidrigkeiten','Gefahrgutgesetz','diverse'
'198','Sonstige Ordnungswidrigkeiten','Güterkraftv. -Nah-','diverse'
'199','Sonstige Ordnungswidrigkeiten','Güterkraftv. -Fern-','diverse'
'200','Sonstige Ordnungswidrigkeiten','Waffengesetz','diverse'
'201','Sonstige Ordnungswidrigkeiten','Sprengstoffverordn.','diverse'
'202','Sonstige Ordnungswidrigkeiten','Versammlungsgesetz','diverse'
'203','Sonstige Ordnungswidrigkeiten','Katastrophenschutz','diverse'
'204','Sonstige Ordnungswidrigkeiten','Bundesseuchengesetz','diverse'
'205','Sonstige Ordnungswidrigkeiten','Bundesjagdgesetz','diverse'
'206','Sonstige Ordnungswidrigkeiten','Tierschutzgesetz','diverse'
'207','Sonstige Ordnungswidrigkeiten','Tierseuchengesetz','diverse'
'208','Sonstige Ordnungswidrigkeiten','Rundf.geb.staatsver.','diverse'
'209','Sonstige Ordnungswidrigkeiten','sonst. Ordnungsrecht','diverse'
'210','Bauartgenehmigung für Fahrzeugteile','StVZO','§ 22a'
'211','0,5 Promille-Grenze und Berauschende Mittel','StVG','§ 24a'
'212','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9 Abs. 1'
'213','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9 Abs. 2'
'214','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9 Abs. 3'
'215','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9 Abs. 4'
'216','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9 Abs. 5'
'217','Abgasuntersuchung','StVZO','§ 47a'
'218','Ableitung von Abgasen','StVZO','§ 47c'
'219','Abmessungen von Fahrzeug(en) u. -kombinationen','StVZO','§ 32_'
'220','Abschleppen von Fahrzeugen','StVO','§ 15a'
'221','Abstand','StVO','§ 4 Abs. 1'
'222','Abstand','StVO','§ 4 Abs. 1, 2, 3'
'223','Anhängelast hinter Kraftfahrzeugen und Leergewicht','StVZO','§ 42'
'224','Ausfertigung des Fahrzeugscheins','StVZO','§ 24'
'225','Ausfertigung des Führerscheins','FeV','§ 25'
'226','Ausgestaltung u. Anbringung d. Versicherungskennzeichens','StVZO','§ 60a'
'227','Ausgestaltung und Anbringung der amtlichen Kennzeichen','StVZO','§ 60'
'228','Ausnahmegenehmigung und Erlaubnis','StVO','§ 46 Abs. 3'
'229','Ausnahmen','StVZO','§ 70'
'230','Ausnahmen','FeV','§ 74'
'231','Ausrüstg. u. Kenntlichmachg.: Anbaugeräte/Hubladebühnen','StVZO','§ 53b'
'232','Ausrüstung mit Geschwindigkeitsbegrenzern','StVZO','§ 57c'
'233','Autobahnen und Kraftfahrstraßen','StVO','§ 18 Abs. 1'
'234','Autobahnen und Kraftfahrstraßen','StVO','§ 18 Abs. 2, 3'
'235','Autobahnen und Kraftfahrstraßen','StVO','§ 18 Abs. 5'
'236','Autobahnen und Kraftfahrstraßen','StVO','§ 18 Abs. 7'
'237','Autobahnen und Kraftfahrstraßen','StVO','§ 18 Abs. 8, 9, 10'
'238','Beleuchtung','StVO','§ 17 Abs. 1, 2'
'239','Beleuchtung','StVO','§ 17 Abs. 2a, 3'
'240','Beleuchtung','StVO','§ 17 Abs. 4, 5, 6'
'241','Bereifung und Lauffläche','StVZO','§ 36'
'242','Beschaffenheit der Fahrzeuge','StVZO','§ 30'
'243','Besetzung und Beschaffenheit von Kraftomnibussen','StVZO','§ 34a_'
'244','Bremsen','StVZO','§ 65'
'245','Einbau und Prüfung von Geschwindigkeitsbegrenzern','StVZO','§ 57d'
'246','Eingeschränkte Zulassung','FeV','§ 2'
'247','Einrichtungen für Schallzeichen','StVZO','§ 64a'
'248','Einrichtungen für Schallzeichen','StVZO','§ 55'
'249','Einrichtungen zum sicheren Führen der Fahrzeuge','StVZO','§ 35b'
'250','Einrichtungen zur Überwachung der Parkzeit','StVO','§ 13 Abs. 1, 2'
'251','Einrichtungen zur Verbindung von Fahrzeugen','StVZO','§ 43'
'252','Einschränkung und Entziehung der Zulassung','StVZO','§ 17 Abs. 1, 2'
'253','Einschränkung und Entziehung der Zulassung','FeV','§ 3 Abs. 1'
'254','Entziehung, Beschränkung, Auflagen','FeV','§§ 46, 47'
'255','Erlaubnis- und Ausweispflicht für das Führen von Kfz.','FeV','§ 4 Abs. 2'
'256','Erste-Hilfe-Material in Kraftfahrzeugen','StVZO','§ 35h'
'257','Erteilung und Wirksamkeit der Betriebserlaubnis','StVZO','§ 19 Abs. 4'
'258','Fahrerlaubnis zur Fahrgastbeförderung','FeV','§ 48'
'259','Fahrtenbuch','StVZO','§ 31a'
'260','Fahrtrichtungsanzeiger','StVZO','§ 54'
'261','Ferienreiseverordnung','Ferienreiseverordn',''
'262','Feuerlöscher in Kraftomnibussen','StVZO','§ 35g'
'263','Geltungsdauer der FE, Beschränkungen u. Auflagen','FeV','§ 23'
'264','Geschwindigkeit','StVO','§ 3 Abs. 1'
'265','Geschwindigkeit','StVO','§ 3 Abs. 2, 2a'
'266','Geschwindigkeit','StVO','§ 3 Abs. 3'
'267','Geschwindigkeit','StVO','§ 3 Abs. 4'
'268','Gleitschutzeinrichtungen und Schneeketten','StVZO','§ 37'
'269','Halten und Parken','StVO','§ 12 Abs. 1'
'270','Halten und Parken','StVO','§ 12 Abs. 3'
'271','Halten und Parken','StVO','§ 12 Abs. 3a, 3b'
'272','Halten und Parken','StVO','§ 12 Abs. 4'
'273','Halten und Parken','StVO','§ 12 Abs. 4a'
'274','Halten und Parken','StVO','§ 12 Abs. 5, 6'
'275','Kreisverkehr','StVO','§ 9a'
'276','Kurvenlaufeigenschaften','StVZO','§ 32d'
'277','Ladung','StVO','§ 22 Abs. 1, 2, 3'
'278','Ladung','StVO','§ 22 Abs. 4, 5'
'279','Lenkeinrichtung','StVZO','§ 38'
'280','Lichttechnische Einrichtung an Fahrrädern','StVZO','§ 67'
'281','Lichttechnische Einrichtungen','StVZO','§ 49a'
'282','Maßnahmen beim Fehlen des Versicherungsschutzes','StVZO','§ 29d'
'283','Mindestalter der Kraftfahrzeugführer','FeV','§ 10'
'284','Nebelschlußleuchten','StVZO','§ 53d'
'285','Öffentliche Verkehrsmittel und Schulbusse','StVO','§ 20 Abs. 2'
'286','Öffentliche Verkehrsmittel und Schulbusse','StVO','§ 20 Abs. 3, 4'
'287','Öffentliche Verkehrsmittel und Schulbusse','StVO','§ 20 Abs. 5'
'288','Parkleuchten, Park-Warntafeln','StVZO','§ 51c Abs. 3 und 5'
'289','Prüfung der Fahrtschreiber und Kontrollgeräte','StVZO','§ 57b'
'290','Radabdeckungen, Ersatzräder','StVZO','§ 36a'
'291','Richtzeichen','StVO','§ 42 Abs. 2'
'292','Richtzeichen','StVO','§ 42 Abs. 4a'
'293','Richtzeichen','StVO (Parken)','§ 42 Abs. 4a'
'294','Richtzeichen','StVO','§ 42 Abs. 6'
'295','Rückfahrscheinwerfer','StVZO','§ 52a'
'296','Scheiben und Scheibenwischer','StVZO','§ 40'
'297','Schlußleuchten, Bremsleuchten, Rückstrahler','StVZO','§ 53'
'298','Seitliche Schutzvorrichtung','StVZO','§ 32c'
'299','Sicherheitsgurte, Schutzhelme','StVO','§ 21a'
'300','Sicherungseinrichtung gegen unbefugte Benutzung v. Kfz.','StVZO','§ 38a'
'301','Sitze','StVZO','§ 35a'
'302','Sonderbestimmung für das Führen von Mofas etc.','FeV','§ 5'
'303','Sonderbestimmungen für Inhaber ausländischer FE','FeV','§§ 28, 29'
'304','Straßenbenutzung durch Fahrzeuge','StVO','§ 2 Abs. 1, 2'
'305','Straßenbenutzung durch Fahrzeuge','StVO','§ 2 Abs. 3, 3a, 4'
'306','Stützlast','StVZO','§ 44 Abs. 3'
'307','Überholen','StVO','§ 5 Abs. 1'
'308','Überholen','StVO','§ 5 Abs. 2, 3'
'309','Überholen','StVO','§ 5 Abs. 3a'
'310','Überholen','StVO','§ 5 Abs. 4'
'311','Überholen','StVO','§ 5 Abs. 4a, 5, 6 und 7'
'312','Überprüfung mitzuführender Gegenstände','StVZO','§ 31b'
'313','Überprüfung von Fahrzeuggewichten','StVZO','§ 31c'
'314','Umrißleuchten','StVZO','§ 51b'
'315','Unterfahrschutz','StVZO','§ 32b'
'316','Untersuchung der Kraftfahrzeuge u. Anhänger','StVZO','§ 29'
'317','Verkehrsbeeinträchtigungen','StVO','§ 33 Abs. 1, 2'
'318','Verkehrseinrichtungen','StVO','§ 43 Abs. 3'
'319','Verkehrszeichen u. Verkehrseinrichtungen','StVO','§ 45 Abs. 4 u. 6'
'320','Verordnung über Internationalen Kraftfahrzeugverkehr','IntKfzV',''
'321','Versicherungskennzeichen','StVZO','§ 29e'
'322','Verwertungsnachweis, Verbleibserklärung','StVZO','§ 27a'
'323','Vorbeifahren','StVO','§ 6'
'324','Vorschriftszeichen','StVO','§ 41 Abs. 2'
'325','Vorschriftszeichen','StVO (Halten und Parken)','§ 41 Abs. 2'
'326','Vorschriftszeichen','StVO','§ 41 Abs. 3'
'327','Vorschriftszeichen','StVO (Parken)','§ 41 Abs. 3'
'328','Vorstehende Außenkanten','StVZO','§ 30c'
'329','Warndreieck, Warnleuchte, Warnblinkanlage','StVZO','§ 53a'
'330','Wechsellicht- und Dauerlichtzeichen','StVO','§ 37'
'331','Zulassungspflicht','StVZO','§ 18 Abs. 1, 3'
'332','Zulassungspflicht','StVZO','§ 18 Abs. 4, 5, 6'
'333','Halten und Parken','StVO','§ 12'
'334','Richtzeichen','StVO','§ 42 Abs. 4a'
'335','Seitliche Kenntlichmachung','StVZO','§ 51a'
'336','Vorschriftszeichen','StVO (Verweisungen)','§ 41 Abs. 2'
'337','Vorschriftzeichen','StVO','§ 41 Abs. 2'
'338','Vorschriftzeichen','StVO (Halten und Parken)','§ 41 Abs. 2'
'339','Vorschriftzeichen','StVO','§ 41 Abs. 3'
'340','Vorschriftzeichen','StVO (Verweisungen)','§ 41 Abs. 3'
'341','ohne','',''
'342','Besetzung, Beladung und Kennzeichnung von KOM','StVZO','§ 34a'
'343','Sitze, Sicherheitsgur., Rückhaltesy.','StVZO','§ 35a'
'344','Verantwortung für den Betrieb der Fahrzeug','StVZO','§ 31'
'345','Verwertungsnachweis','StVZO','§ 27a Abs. 1'
'346','Vorschriftzeichen','StVO','§ 41 Abs. 2'
'347','Vorschriftzeichen','StVO','§ 41 Abs. 3'
'348','Fahrerlaubnis zum begleiteten Fahren ab 17 Jahre','FeV','§ 48a'
'349','Einschränkung und Entziehung der Zulassung','FeV','§ 3'
'350','Erlaubnis- und Ausweispflicht für das Führen von Kfz.','FeV','§ 4'
'351','Anerkennung von Fahrerlaubnissen aus Mitgliedstaaten der EU','FeV','§ 28'
'352','weggefallen','FeV','§ 29'
'353','Entziehung, Beschränkung, Auflagen','FeV','§ 46'
'354','Verfahrensregelungen','FeV','§ 47'
'355','Parkleuchten, Park-Warntafeln','StVZO','§ 51c'
'356','Verkehrsverbot','Ferienreiseverordnung','§ 1'
'357','Verkehrsverbot','Ferienreiseverordnung','§ 3'
'358','Verordnung über Internationalen Kraftfahrzeugverkehr','IntKfzV','§ 2'
'359','Verordnung über Internationalen Kraftfahrzeugverkehr','IntKfzV','§ 4'
'360','Verordnung über Internationalen Kraftfahrzeugverkehr','IntKfzV','§ 10'
'361','Ordnungswidrigkeiten','StVZO','§ 69a'
'362','Notwendigkeit einer Zulassung','FZV','§ 3'
'363','Voraussetzungen Inbetriebsetzung zulassungsfreier Fahrzeuge','FZV','§ 4'
'364','Beschränkung und Untersagung des Betriebs von Fahrzeugen','FZV','§ 5'
'365','Besondere Kennzeichen','FZV','§ 9'
'366','Ausgestaltung und Anbringung der Kennzeichen','FZV','§ 10'
'367','Zulassungsbescheinigung Teil I','FZV','§ 11'
'368','Mitteilungspflichten bei Änderungen','FZV','§ 13'
'369','Außerbetriebsetzung, Wiederzulassung','FZV','§ 14'
'370','Verwertungsnachweis','FZV','§ 15'
'371','Prüfungsfahrten, Probefahrten, Überführungsfahrten','FZV','§ 16'
'372','Fahrten zur Teilnahme an Veranstaltungen für Oldtimer','FZV','§ 17'
'373','Fahrten z. dauerhaften Verbringung e. Fahrzeugs ins Ausland','FZV','§ 19'
'374','Vorübergehende Teilnahme am Straßenverkehr im Inland','FZV','§ 20'
'375','Kennzeichen und Unterscheidungszeichen','FZV','§ 21'
'376','Versicherungskennzeichen','FZV','§ 26'
'377','Ausgestaltung und Anbringung des Versicherungskennzeichens','FZV','§ 27'
'378','Alkohol Fahranfänger und Fahranfängerinnen','StVG','§ 24c'
'379','Maßnahmen und Pflichten bei fehlendem Versicherungsschutz','FZV','§ 25'
'380','Sport und Spiel','StVO','§ 31'
'381','Datenvergleich zur Beseitigung von Fehlern','StVG','§ 42'
'382','Verordnung über das Verhalten im Straßenverkehr','StVO','§ 7a'
'383','Mobilitätshilfenverordnung','MobHV','§ 2'
'384','Mobilitätshilfenverordnung','MobHV','§ 3'
'385','Mobilitätshilfenverordnung','MobHV','§ 4'
'386','Mobilitätshilfenverordnung','MobHV','§ 5'
'387','Mobilitätshilfenverordnung','MobHV','§ 6'
'388','Mobilitätshilfenverordnung','MobHV','§ 7'
'389','Zuteilung von Kennzeichen','FZV','§ 8'
'390','VO innerstaatl. u. grenzüberschr. Beförderung gefährl. Güter','GGVSEB','§ 19'
'391','VO innerstaatl. u. grenzüberschr. Beförderung gefährl. Güter','GGVSEB','§ 29'
'392','Halteeinrichtungen, Fußstützen f. Beifahrer zweirädrigen KFZ','StVZO','§ 61'
'393','Probefahrten und Überführungsfahrten mit Kurzzeitkennzeichen','FZV','§ 16a'
'394','Internetbasierte Zulassung','FZV','§ 15e'
'395','Elektrokleinstfahrzeuge-Verordnung','eKFV','§ 2'
'396','Elektrokleinstfahrzeuge-Verordnung','eKFV','§ 8'
'397','Elektrokleinstfahrzeuge-Verordnung','eKFV','§ 10'
'398','Elektrokleinstfahrzeuge-Verordnung','eKFV','§ 11'
'399','Versicherungsplakette','FZV','§ 29a'
'400','Versicherungsplakette','FZV','§ 15i'
