"101","Gefahrstelle"
"142-20","Wildwechsel - Aufstellung links"
"151","Bahnübergang"
"156","Bahnübergang mit dreistreifiger Bake"
"156-10","Bahnübergang mit dreistreifiger Bake - Aufstellung rechts"
"156-11","Bahnübergang mit dreistreifiger Bake mit Entfernungsangabe - Aufstellung rechts"
"156-20","Bahnübergang mit dreistreifiger Bake - Aufstellung links"
"156-21","Bahnübergang mit dreistreifiger Bake mit Entfernungsangabe - Aufstellung links"
"157","Dreistreifige Bake"
"157-10","Dreistreifige Bake - Aufstellung rechts"
"157-11","Dreistreifige Bake mit Entfernungsangabe - Aufstellung rechts"
"157-20","Dreistreifige Bake - Aufstellung links"
"157-21","Dreistreifige Bake mit Entfernungsangabe - Aufstellung links"
"159","Zweistreifige Bake"
"159-10","Zweistreifige Bake - Aufstellung rechts"
"159-11","Zweistreifige Bake mit Entfernungsangabe - Aufstellung rechts"
"159-20","Zweistreifige Bake - Aufstellung links"
"159-21","Zweistreifige Bake mit Entfernungsangabe - Aufstellung links"
"162","Einstreifige Bake"
"162-10","Einstreifige Bake - Aufstellung rechts"
"162-11","Einstreifige Bake mit Entfernungsangabe - Aufstellung rechts"
"162-20","Einstreifige Bake - Aufstellung links"
"162-21","Einstreifige Bake mit Entfernungsangabe - Aufstellung links"
"201","Andreaskreuz"
"201-50","Andreaskreuz - stehend"
"201-51","Andreaskreuz - stehend mit Blitzpfeil"
"201-52","Andreaskreuz - liegend"
"201-53","Andreaskreuz - liegend mit Blitzpfeil"
"205","Vorfahrt gewähren"
"206","Halt. Vorfahrt gewähren"
"208","Vorrang des Gegenverkehrs"
"209","Vorgeschriebene Fahrtrichtung - rechts"
"209-10","Vorgeschriebene Fahrtrichtung - links"
"209-30","Vorgeschriebene Fahrtrichtung - geradeaus"
"211","Vorgeschriebene Fahrtrichtung - hier rechts"
"211-10","Vorgeschriebene Fahrtrichtung - hier links"
"214","Vorgeschriebene Fahrtrichtung - geradeaus oder rechts"
"214-10","Vorgeschriebene Fahrtrichtung  - geradeaus oder links"
"214-30","Vorgeschriebene Fahrtrichtung - rechts oder links"
"215","Kreisverkehr"
"220","Einbahnstraße"
"220-10","Einbahnstraße - linksweisend"
"220-20","Einbahnstraße - rechtsweisend"
"220-40","Einbahnstraße - doppelseitig (-10/ -20)"
"222","Vorgeschriebene Vorbeifahrt - rechts vorbei"
"222-10","Vorgeschriebene Vorbeifahrt - links vorbei"
"223.1","Seitenstreifen befahren"
"223.1-50","Seitenstreifen befahren - 2 Fahrstreifen + Seitenstreifen"
"223.1-51","Seitenstreifen befahren - 3 Fahrstreifen + Seitenstreifen"
"223.1-52","Seitenstreifen befahren - 4 Fahrstreifen + Seitenstreifen"
"223.2","Seitenstreifen nicht mehr befahren"
"223.2-50","Seitenstreifen nicht mehr befahren - 2 Fahrstreifen + Seitenstreifen"
"223.2-51","Seitenstreifen nicht mehr befahren - 3 Fahrstreifen + Seitenstreifen"
"223.2-52","Seitenstreifen nicht mehr befahren - 4 Fahrstreifen + Seitenstreifen"
"223.3","Seitenstreifen räumen"
"223.3-50","Seitenstreifen räumen - 2 Fahrstreifen + Seitenstreifen"
"223.3-51","Seitenstreifen räumen - 3 Fahrstreifen + Seitenstreifen"
"223.3-52","Seitenstreifen räumen - 4 Fahrstreifen + Seitenstreifen"
"224","Haltestelle"
"224-40","Haltestelle - doppelseitig"
"224-41","Schulbushaltestelle - doppelseitig"
"224-51","Schulbushaltestelle"
"229","Taxenstand"
"229-10","Taxenstand - Anfang - Aufstellung rechts"
"229-11","Taxenstand - Ende - Aufstellung links"
"229-20","Taxenstand - Ende - Aufstellung rechts"
"229-21","Taxenstand - Anfang - Aufstellung links"
"229-30","Taxenstand - Mitte - Aufstellung rechts"
"229-31","Taxenstand - Mitte - Aufstellung links"
"237","Radweg"
"238","Reitweg"
"239","Gehweg"
"240","Gemeinsamer Geh- und Radweg"
"241","Getrennter Rad- und Gehweg"
"241-30","Getrennter Rad- und Gehweg - Radweg links"
"241-31","Getrennter Rad- und Gehweg - Radweg rechts"
"242.1","Beginn einer Fußgängerzone"
"242.1-40","Beginn einer Fußgängerzone - doppelseitig (Rückseite Z 242.2)"
"242.2","Ende einer Fußgängerzone"
"244.1","Beginn einer Fahrradstraße"
"244.1-40","Beginn einer Fahrradstraße - doppelseitig (Rückseite Z 244.2)"
"244.2","Ende einer Fahrradstraße"
"244.3","Beginn einer Fahradzone"
"244.3-40","Beginn einer Fahradzone - doppelseitig (Rückseite Z 244.4)"
"244.4","Ende einer Fahrradzone"
"245","Bussonderfahrstreifen"
"250","Verbot für Fahrzeuge aller Art"
"251","Verbot für Kraftwagen"
"253","Verbot für Kraftfahrzeuge über 3,5 t"
"254","Verbot für Radverkehr"
"255","Verbot für Krafträder"
"257-50","Verbot für Mofas"
"257-51","Verbot für Reiter"
"257-52","Verbot für Gespannfuhrwerke"
"257-53","Verbot für Viehtrieb"
"257-54","Verbot für Kraftomnibusse"
"257-55","Verbot für Personenkraftwagen"
"257-56","Verbot für Personenkraftwagen mit Anhänger"
"257-57","Verbot für Lastkraftwagen mit Anhänger"
"257-58","Verbot für Kraftfahrzeuge und Züge, die nicht schneller als 25 km/h fahren können oder dürfen"
"259","Verbot für Fußgänger"
"260","Verbot für Kraftfahrzeuge"
"261","Verbot für kennzeichnungspflichtige Kraftfahrzeuge mit gefährlichen Gütern"
"262","Tatsächliche Masse (Unternummer steht jeweils für den Zahlenwert)"
"263","Tatsächliche Achslast (Unternummer steht jeweils für den Zahlenwert)"
"264","Tatsächliche Breite (Unternummer steht jeweils für den Zahlenwert)"
"265","Tatsächliche Höhe (Unternummer steht jeweils für den Zahlenwert)"
"266","Tatsächliche Länge (Unternummer steht jeweils für den Zahlenwert)"
"267","Verbot der Einfahrt"
"268","Schneeketten vorgeschrieben"
"269","Verbot für Fahrzeuge mit wassergefährdender Ladung"
"270.1","Beginn einer Verkehrsverbotszone zur Verminderung schädlicher Luftverunreinigungen in einer Zone"
"270.1-40","Beginn einer Verkehrsverbotszone zur Verminderung schädlicher Luftverunreinigungen in einer Zone - doppelseitig (Rückseite Z 270.2)"
"270.2","Ende einer Verkehrsverbotszone zur Verminderung schädlicher Luftverunreinigungen in einer Zone"
"272","Verbot des Wendens"
"273","Verbot des Unterschreitens des angegebenen Mindestabstandes (Unternummer steht jeweils für den Zahlenwert)"
"274","Zulässige Höchstgeschwindigkeit"
"274-5","Zulässige Höchstgeschwindigkeit 5 km/h"
"274-10","Zulässige Höchstgeschwindigkeit 10 km/h"
"274-20","Zulässige Höchstgeschwindigkeit 20 km/h"
"274-30","Zulässige Höchstgeschwindigkeit 30 km/h"
"274-40","Zulässige Höchstgeschwindigkeit 40 km/h"
"274-50","Zulässige Höchstgeschwindigkeit 50 km/h"
"274-60","Zulässige Höchstgeschwindigkeit 60 km/h"
"274-70","Zulässige Höchstgeschwindigkeit 70 km/h"
"274-80","Zulässige Höchstgeschwindigkeit 80 km/h"
"274-90","Zulässige Höchstgeschwindigkeit 90 km/h"
"274-100","Zulässige Höchstgeschwindigkeit 100 km/h"
"274-110","Zulässige Höchstgeschwindigkeit 110 km/h"
"274-120","Zulässige Höchstgeschwindigkeit 120 km/h"
"274-130","Zulässige Höchstgeschwindigkeit 130 km/h"
"274.1","Beginn einer Tempo 30-Zone"
"274.1-20","Beginn einer Tempo 20-Zone in verkehrsberuhigten Geschäftsbereichen - einseitig"
"274.1-40","Beginn einer Tempo 30-Zone - doppelseitig (Rückseite Z 274.2)"
"274.1-41","Beginn einer Tempo 20-Zone in verkehrsberuhigten Geschäftsbereichen - doppelseitig (Rückseite Z 274.2-20)"
"274.2","Ende einer Tempo 30-Zone"
"274.2-20","Ende einer Tempo 20-Zone in verkehrsberuhigten Geschäftsbereichen"
"275","Vorgeschriebene Mindestgeschwindigkeit (Unternummer (nur volle Zehner) steht jeweils für den Zahlenwert)"
"276","Überholverbot für Kraftfahrzeuge aller Art"
"277","Überholverbot für Kraftfahrzeuge über 3,5 t"
"277.1","Verbot des Überholens von einspurigen Fahrzeugen für mehrspurige Kraftfahrzeuge und Krafträdern mit Beiwagen"
"278","Ende der zulässigen Höchstgeschwindigkeit"
"278-5","Ende der zulässigen Höchstgeschwindigkeit 5 km/h"
"278-10","Ende der zulässigen Höchstgeschwindigkeit 10 km/h"
"278-20","Ende der zulässigen Höchstgeschwindigkeit 20 km/h"
"278-30","Ende der zulässigen Höchstgeschwindigkeit 30 km/h"
"278-40","Ende der zulässigen Höchstgeschwindigkeit 40 km/h"
"278-50","Ende der zulässigen Höchstgeschwindigkeit 50 km/h"
"278-60","Ende der zulässigen Höchstgeschwindigkeit 60 km/h"
"278-70","Ende der zulässigen Höchstgeschwindigkeit 70 km/h"
"278-80","Ende der zulässigen Höchstgeschwindigkeit 80 km/h"
"278-90","Ende der zulässigen Höchstgeschwindigkeit 90 km/h"
"278-100","Ende der zulässigen Höchstgeschwindigkeit 100 km/h"
"278-110","Ende der zulässigen Höchstgeschwindigkeit 110 km/h"
"278-120","Ende der zulässigen Höchstgeschwindigkeit 120 km/h"
"278-130","Ende der zulässigen Höchstgeschwindigkeit 130 km/h"
"279","Ende der vorgeschriebenen Mindestgeschwindigkeit (Unternummer (nur volle Zehner) steht jeweils für den Zahlenwert)"
"280","Ende des Überholverbots für Kraftfahrzeuge aller Art"
"281","Ende des Überholverbots für Kraftfahrzeuge über 3,5 t"
"281.1","Ende des Verbots des Überholens von einspurigen Fahrzeugen für mehrspurige Kraftfahrzeuge und Krafträder mit Beiwagen"
"282","Ende sämtlicher streckenbezogener Geschwindigkeitsbeschränkungen und Überholverbote"
"283","Absolutes Haltverbot"
"283-10","Absolutes Haltverbot - Anfang - Aufstellung rechts"
"283-11","Absolutes Haltverbot - Ende - Aufstellung links"
"283-20","Absolutes Haltverbot - Ende - Aufstellung rechts"
"283-21","Absolutes Haltverbot - Anfang - Aufstellung links"
"283-30","Absolutes Haltverbot - Mitte - Aufstellung rechts"
"283-31","Absolutes Haltverbot - Mitte - Aufstellung links"
"286","Eingeschränktes Haltverbot"
"286-10","Eingeschränktes Haltverbot - Anfang - Aufstellung rechts"
"286-11","Eingeschränktes Haltverbot - Ende - Aufstellung links"
"286-20","Eingeschränktes Haltverbot - Ende - Aufstellung rechts"
"286-21","Eingeschränktes Haltverbot - Anfang - Aufstellung links"
"286-30","Eingeschränktes Haltverbot - Mitte - Aufstellung rechts"
"286-31","Eingeschränktes Haltverbot - Mitte - Aufstellung links"
"290.1","Beginn eines eingeschränkten Haltverbotes für eine Zone"
"290.1-40","Beginn eines eingeschränkten Haltverbotes für eine Zone - doppelseitig (Rückseite Z 290.2)"
"290.2","Ende eines eingeschränkten Haltverbotes für eine Zone Markierungen"
"293","Fußgängerüberweg"
"294","Haltlinie"
"295","Fahrstreifenbegrenzung und Fahrbahnbegrenzung"
"296","Einseitige Fahrstreifenbegrenzung"
"297","Pfeilmarkierungen"
"297.1","Vorankündigungspfeil"
"297.1-21","Vorankündigungspfeil - zur Anzeige eines Fahrstreifenendes"
"298","Sperrfläche"
"299","Grenzmarkierung für Halt- oder Parkverbote"
"301","Vorfahrt"
"306","Vorfahrtstraße"
"307","Ende der Vorfahrtstraße"
"308","Vorrang vor dem Gegenverkehr"
"310","Ortstafel Vorderseite"
"310-40","Ortstafel Vorderseite - doppelseitig (Rückseite Z 311)"
"311","Ortstafel Rückseite"
"314","Parken"
"314-10","Parken - Anfang (Aufstellung rechts) oder Ende (Aufstellung links)"
"314-20","Parken - Ende (Aufstellung rechts) oder Anfang (Aufstellung links)"
"314-30","Parken - Mitte (Aufstellung rechts)"
"314-31","Parken - Mitte (Aufstellung links)"
"314-50","Parkhaus, Parkgarage"
"314.1","Beginn einer Parkraumbewirtschaftungszone"
"314.1-40","Beginn einer Parkraumbewirtschaftungszone - doppelseitig (Rückseite Z 314.2)"
"314.2","Ende einer Parkraumbewirtschaftungszone"
"315","Parken auf Gehwegen"
"315-50","Parken auf Gehwegen - halb in Fahrtrichtung links"
"315-51","Parken auf Gehwegen - halb in Fahrtrichtung links Anfang"
"315-52","Parken auf Gehwegen - halb in Fahrtrichtung links Ende"
"315-53","Parken auf Gehwegen - halb in Fahrtrichtung links Mitte"
"315-55","Parken auf Gehwegen - halb in Fahrtrichtung rechts"
"315-56","Parken auf Gehwegen - halb in Fahrtrichtung rechts Anfang"
"315-57","Parken auf Gehwegen - halb in Fahrtrichtung rechts Ende"
"315-58","Parken auf Gehwegen - halb in Fahrtrichtung rechts Mitte"
"315-60","Parken auf Gehwegen - ganz in Fahrtrichtung links"
"315-61","Parken auf Gehwegen - ganz in Fahrtrichtung links Anfang"
"315-62","Parken auf Gehwegen - ganz in Fahrtrichtung links Ende"
"315-63","Parken auf Gehwegen - ganz in Fahrtrichtung links Mitte"
"315-65","Parken auf Gehwegen - ganz in Fahrtrichtung rechts"
"315-66","Parken auf Gehwegen - ganz in Fahrtrichtung rechts Anfang"
"315-67","Parken auf Gehwegen - ganz in Fahrtrichtung rechts Ende"
"315-68","Parken auf Gehwegen - ganz in Fahrtrichtung rechts Mitte"
"315-70","Parken auf Gehwegen - halb quer zur Fahrtrichtung links"
"315-71","Parken auf Gehwegen - halb quer zur Fahrtrichtung links Anfang"
"315-72","Parken auf Gehwegen - halb quer zur Fahrtrichtung links Ende"
"315-73","Parken auf Gehwegen - halb quer zur Fahrtrichtung links Mitte"
"315-75","Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts"
"315-76","Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Anfang"
"315-77","Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Ende"
"315-78","Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Mitte"
"315-80","Parken auf Gehwegen - ganz quer zur Fahrtrichtung links"
"315-81","Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Anfang"
"315-82","Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Ende"
"315-83","Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Mitte"
"315-85","Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts"
"315-86","Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts Anfang"
"315-87","Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts Ende"
"315-88","Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts Mitte"
"316","Parken und Reisen"
"316-50","Parken und Mitfahren"
"317","Wandererparkplatz"
"318","Parkscheibe"
"325.1","Beginn eines verkehrsberuhigten Bereichs"
"325.1-40","Beginn eines verkehrsberuhigten Bereichs - doppelseitig (Rückseite Z 325.2)"
"325.2","Ende eines verkehrsberuhigten Bereichs"
"327","Tunnel"
"327-50","Tunnel mit Längenangabe in m"
"327-51","Tunnel mit Längenangabe in km"
"328","Nothalte- und Pannenbucht"
"330.1","Autobahn"
"330.2","Ende der Autobahn"
"331.1","Kraftfahrstraße"
"331.2","Ende der Kraftfahrstraße"
"332","Ausfahrttafel auf der Autobahn"
"332.1","Ausfahrttafel auf anderen Straßen außerhalb der Autobahn"
"332.1-20","Ausfahrttafel auf anderen Straßen außerhalb der Autobahn - in weiß"
"333","Ausfahrt von der Autobahn"
"333.1","Ausfahrt von anderen Straßen außerhalb der Autobahn"
"333.1-20","Ausfahrt von anderen Straßen außerhalb der Autobahn - in weiß"
"340","Leitlinie"
"341","Wartelinie"
"342","Haifischzähne"
"350","Fußgängerüberweg"
"350-10","Fußgängerüberweg - Aufstellung rechts"
"350-20","Fußgängerüberweg - Aufstellung links"
"350-40","Fußgängerüberweg - doppelseitig (-10/ -20)"
"350.1","Radschnellweg"
"350.1-10","Radschnellweg – Aufstellung rechts"
"350.1-20","Radschnellweg – Aufstellung links"
"350.2","Ende des Radschnellwegs"
"350.2-10","Ende des Radschnellwegs - Aufstellung rechts"
"350.2-20","Ende des Radschnellwegs - Aufstellung links"
"354","Wasserschutzgebiet"
"356","Verkehrshelfer"
"357","Sackgasse"
"357-50","Sackgasse - für Radverkehr und Fußgänger durchlässige Sackgasse"
"357-51","Sackgasse - für Fußgänger durchlässige Sackgasse"
"357-52","Sackgasse - für Radverkehr durchlässige Sackgasse"
"358","Erste Hilfe"
"363","Polizei"
"365-50","Fernsprecher"
"365-51","Notrufsäule"
"365-52","Tankstelle"
"365-53","Tankstelle mit Autogas"
"365-54","Tankstelle mit Erdgas"
"365-55","Autobahnhotel"
"365-56","Autobahngasthaus"
"365-57","Autobahnkiosk"
"365-58","Toilette"
"365-59","Autobahnkapelle"
"365-60","Zelt- und Wohnwagenplatz"
"365-61","Informationsstelle"
"365-62","Pannenhilfe"
"365-63","Fußgängerunterführung"
"365-64","Fußgängerüberführung"
"365-65","Ladestation für Elektrofahrzeuge"
"365-66","Wasserstofftankstelle"
"365-67","Wohnmobilplatz"
"365-68","Wohnmobil- und Wohnwagenplatz"
"365-69","Tankstelle mit Flüssigerdgas"
"365-70","Tankmöglichkeit verschiedene Kraftstoffarten"
"365-71","Tankmöglichkeit alle Kraftstoffarten"
"385","Ortshinweistafel"
"386.1","Touristischer Hinweis"
"386.1-10","Touristischer Hinweis als Wegweiser - Wegweiser linksweisend"
"386.1-11","Touristischer Hinweis als Wegweiser - Vorwegweiser linksweisend"
"386.1-12","Touristischer Hinweis als Wegweiser - Pfeilwegweiser linksweisend"
"386.1-20","Touristischer Hinweis als Wegweiser - Wegweiser rechtsweisend"
"386.1-21","Touristischer Hinweis als Wegweiser - Vorwegweiser rechtsweisend"
"386.1-22","Touristischer Hinweis als Wegweiser - Pfeilwegweiser rechtsweisend"
"386.1-30","Touristischer Hinweis als Wegweiser - Vor-/ Wegweiser geradeaus"
"386.1-40","Touristischer Hinweis als Wegweiser - Pfeilwegweiser doppelseitig"
"386.1-50","Touristischer Hinweis mit Bezugsziel - Variante "in""
"386.1-51","Touristischer Hinweis mit Bezugsziel - Variante "via""
"386.1-52","Touristischer Hinweis mit Bezugsziel - Variante "Richtung""
"386.1-53","Touristischer Hinweis Fluss oder Kanal"
"386.2","Touristische Route"
"386.2-10","Touristische Route - Wegweiser linksweisend"
"386.2-11","Touristische Route - Vorwegweiser linksweisend"
"386.2-12","Touristische Route - Pfeilwegweiser linksweisend"
"386.2-20","Touristische Route - Wegweiser rechtsweisend"
"386.2-21","Touristische Route - Vorwegweiser rechtsweisend"
"386.2-22","Touristische Route - Pfeilwegweiser rechtsweisend"
"386.2-30","Touristische Route - Vor-/ Wegweiser geradeaus"
"386.2-40","Touristische Route - Pfeilwegweiser doppelseitig"
"386.2-51","Touristische Route - Hinweis mit Bezugsziel, Variante "via""
"386.2-52","Touristische Route - Hinweis mit Bezugsziel, Variante "Richtung""
"386.2-53","Touristische Route als Hinweisschild"
"386.3","Touristische Unterrichtungstafel"
"386.3-50","Touristische Unterrichtungstafel - Erinnerungstafel gemäß "Brocken-Erklärung""
"390","Mautpflicht nach dem Bundesfernstraßenmautgesetz"
"390.2","Ende der Mautpflicht nach dem Bundesfernstraßenmautgesetz"
"391","Mautpflichtige Strecke"
"392","Zollstelle"
"393","Informationstafel an Grenzübergangsstellen"
"394","Laternenring"
"394-50","Laternenring - Schild"
"401","Bundesstraßen"
"405","Autobahnen"
"406","Knotenpunkte der Autobahnen"
"406-50","Knotenpunkte der Autobahnen - ein- oder zweistellige Nummer"
"406-51","Knotenpunkte der Autobahnen - drei- oder mehrstellige Nummer"
"410","Europastraßen"
"415","Pfeilwegweiser auf Bundesstraßen"
"415-10","Pfeilwegweiser auf Bundesstraßen - linksweisend"
"415-20","Pfeilwegweiser auf Bundesstraßen - rechtsweisend"
"415-40","Pfeilwegweiser auf Bundesstraßen - doppelseitig"
"418","Pfeilwegweiser auf sonstigen Straßen"
"418-10","Pfeilwegweiser auf sonstigen Straßen - linksweisend"
"418-20","Pfeilwegweiser auf sonstigen Straßen - rechtsweisend"
"418-40","Pfeilwegweiser auf sonstigen Straßen - doppelseitig"
"419","Pfeilwegweiser auf sonstigen Straßen mit geringerer Verkehrsbedeutung"
"419-10","Pfeilwegweiser auf sonstigen Straßen mit geringerer Verkehrsbedeutung - linksweisend"
"419-20","Pfeilwegweiser auf sonstigen Straßen mit geringerer Verkehrsbedeutung - rechtsweisend"
"419-40","Pfeilwegweiser auf sonstigen Straßen mit geringerer Verkehrsbedeutung - doppelseitig"
"421","Pfeilwegweiser für bestimmte Verkehrsarten"
"421-10","Pfeilwegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - linksweisend"
"421-11","Pfeilwegweiser für bestimmte Verkehrsarten, kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - linksweisend"
"421-12","Pfeilwegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - linksweisend"
"421-20","Pfeilwegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - rechtsweisend"
"421-21","Pfeilwegweiser für bestimmte Verkehrsarten, kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - rechtsweisend"
"421-22","Pfeilwegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - rechtsweisend"
"421-40","Pfeilwegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - doppelseitig"
"421-41","Pfeilwegweiser für bestimmte Verkehrsarten, kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - doppelseitig"
"421-42","Pfeilwegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - doppelseitig"
"422","Wegweiser für bestimmte Verkehrsarten"
"422-10","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - hier links"
"422-11","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - links einordnen"
"422-12","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - hier links"
"422-13","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - links einordnen"
"422-14","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - hier links"
"422-15","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - links einordnen"
"422-16","Wegweiser für bestimmte Verkehrsarten, Radverkehr - hier links"
"422-17","Wegweiser für bestimmte Verkehrsarten, Radverkehr - links einordnen"
"422-20","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - hier rechts"
"422-21","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - rechts einordnen"
"422-22","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - hier rechts"
"422-23","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - rechts einordnen"
"422-24","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - hier rechts"
"422-25","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - rechts einordnen"
"422-26","Wegweiser für bestimmte Verkehrsarten, Radverkehr - hier rechts"
"422-27","Wegweiser für bestimmte Verkehrsarten, Radverkehr - rechts einordnen"
"422-30","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - geradeaus"
"422-32","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - geradeaus"
"422-34","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - geradeaus"
"422-36","Wegweiser für bestimmte Verkehrsarten, Radverkehr - geradeaus"
"430","Pfeilwegweiser zur Autobahn"
"430-10","Pfeilwegweiser zur Autobahn - linksweisend"
"430-20","Pfeilwegweiser zur Autobahn - rechtsweisend"
"430-40","Pfeilwegweiser zur Autobahn - doppelseitig"
"432","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung"
"432-10","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - linksweisend"
"432-20","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - rechtsweisend"
"432-40","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - doppelseitig"
"434","Tabellenwegweiser"
"434-50","Tabellenwegweiser - kompakte Form"
"434-51","Tabellenwegweiser - teilaufgelöste Form"
"434-52","Tabellenwegweiser - aufgelöste Form (nur innerorts) mit Bundesstraßennummer"
