osm_id,ort,plz,bundesland
1406979,Ahrenviöl,25885,Schleswig-Holstein
1406977,Ahrenviölfeld,24896,Schleswig-Holstein
1406977,Ahrenviölfeld,25885,Schleswig-Holstein
161897,Aichach,86551,Bayern
958122,Aicha vorm Wald,94529,Bayern
2792688,Aichelberg,73101,Baden-Württemberg
935172,Aichen,86479,Bayern
943754,Aichhalden,78733,Baden-Württemberg
2806735,Aichstetten,88317,Baden-Württemberg
2796466,Aichtal,72631,Baden-Württemberg
2792901,Aichwald,73773,Baden-Württemberg
958099,Aidenbach,94501,Bayern
388769,Aidhausen,97491,Bayern
722153,Aidlingen,71134,Baden-Württemberg
956660,Aiglsbach,84089,Bayern
535001,Ailertchen,56459,Rheinland-Pfalz
162453,Aindling,86447,Bayern
941761,Ainring,83404,Bayern
956819,Aislingen,89344,Bayern
959661,Aiterhofen,94330,Bayern
1244183,Aitern,79677,Baden-Württemberg
2806736,Aitrach,88319,Baden-Württemberg
447974,Aitrang,87648,Bayern
1329407,Aken (Elbe),06385,Sachsen-Anhalt
1329407,Aken (Elbe),06386,Sachsen-Anhalt
1284770,Aland,39615,Sachsen-Anhalt
2186953,Albaching,83544,Bayern
2786234,Albbruck,79774,Baden-Württemberg
423032,Albersdorf,25767,Schleswig-Holstein
2778355,Albersdorf,07646,Thüringen
2792707,Albershausen,73095,Baden-Württemberg
1252774,Albersweiler,76857,Rheinland-Pfalz
283563,Albertshofen,97320,Bayern
1246578,Albessen,66871,Rheinland-Pfalz
1248583,Albig,55234,Rheinland-Pfalz
1254398,Albisheim (Pfrimm),67308,Rheinland-Pfalz
1471102,Albsfelde,23909,Schleswig-Holstein
2779017,Albstadt,72458,Baden-Württemberg
2779017,Albstadt,72459,Baden-Württemberg
2779017,Albstadt,72461,Baden-Württemberg
158407,Aldenhoven,52457,Nordrhein-Westfalen
958104,Aldersbach,94501,Bayern
1231975,Aldingen,78554,Baden-Württemberg
962467,Alerheim,86733,Bayern
1015138,Alesheim,91793,Bayern
568238,Aletshausen,86480,Bayern
1269727,Alf,56859,Rheinland-Pfalz
401623,Alfdorf,73553,Baden-Württemberg
401623,Alfdorf,73655,Baden-Württemberg
966167,Alfeld,91236,Bayern
1168905,Alfeld (Leine),31061,Niedersachsen
1821138,Alfhausen,49594,Niedersachsen
1269816,Alflen,56828,Rheinland-Pfalz
1079020,Alfstedt,27432,Niedersachsen
172095,Alfter,53347,Nordrhein-Westfalen
91859,Algermissen,31191,Niedersachsen
238961,Alheim,36211,Hessen
546611,Alken,56332,Rheinland-Pfalz
396563,Alkersleben,99310,Thüringen
1428588,Alkersum,25938,Schleswig-Holstein
1245131,Allenbach,55758,Rheinland-Pfalz
443591,Allendorf,35108,Hessen
539713,Allendorf,56370,Rheinland-Pfalz
1273287,Allendorf,07426,Thüringen
418611,Allendorf (Lumda),35469,Hessen
1244219,Allenfeld,55595,Rheinland-Pfalz
2784841,Allensbach,78476,Baden-Württemberg
158406,Allersberg,90584,Bayern
30015,Allershausen,85391,Bayern
2801344,Alleshausen,88422,Baden-Württemberg
933491,Alling,82239,Bayern
445854,Allmannshofen,86695,Bayern
2801315,Allmannsweiler,88348,Baden-Württemberg
2803631,Allmendingen,89604,Baden-Württemberg
400939,Allmersbach im Tal,71573,Baden-Württemberg
2397385,Allstedt,06542,Sachsen-Anhalt
1567454,Almdorf,25821,Schleswig-Holstein
418894,Almersbach,57610,Rheinland-Pfalz
58618,Alpen,46519,Nordrhein-Westfalen
453150,Alpenrod,57642,Rheinland-Pfalz
453150,Alpenrod,57647,Rheinland-Pfalz
2411295,Alperstedt,99195,Thüringen
935834,Alpirsbach,72275,Baden-Württemberg
532368,Alsbach,56237,Rheinland-Pfalz
452415,Alsbach-Hähnlein,64665,Hessen
157993,Alsdorf,52477,Nordrhein-Westfalen
422316,Alsdorf,57518,Rheinland-Pfalz
1163504,Alsdorf,54668,Rheinland-Pfalz
1253873,Alsenz,67821,Rheinland-Pfalz
418327,Alsfeld,36304,Hessen
1248686,Alsheim,67577,Rheinland-Pfalz
1332300,Alsleben,06425,Sachsen-Anhalt
2792885,Altbach,73776,Baden-Württemberg
1157542,Alt Bennebek,24848,Schleswig-Holstein
394333,Alt Bukow,18233,Mecklenburg-Vorpommern
1322902,Altdöbern,03229,Brandenburg
190875,Altdorf,84032,Bayern
722061,Altdorf,71155,Baden-Württemberg
902680,Altdorf,72655,Baden-Württemberg
1252492,Altdorf,67482,Rheinland-Pfalz
966164,Altdorf bei Nürnberg,90518,Bayern
548573,Alt Duvenstedt,24782,Schleswig-Holstein
548573,Alt Duvenstedt,24791,Schleswig-Holstein
548573,Alt Duvenstedt,24811,Schleswig-Holstein
1438081,Altefähr,18573,Mecklenburg-Vorpommern
964628,Alteglofsheim,93087,Bayern
168547,Altena,58762,Nordrhein-Westfalen
1021826,Altenahr,53505,Rheinland-Pfalz
1244034,Altenbamberg,55585,Rheinland-Pfalz
148072,Altenbeken,33184,Nordrhein-Westfalen
455484,Altenberg,01773,Sachsen
455484,Altenberg,01778,Sachsen
2458400,Altenberga,07768,Thüringen
155779,Altenberge,48341,Nordrhein-Westfalen
1273353,Altenbeuthen,07338,Thüringen
394512,Altenbuch,97901,Bayern
1263721,Altenburg,04600,Thüringen
537133,Altendiez,65624,Rheinland-Pfalz
962080,Altendorf,92540,Bayern
1077529,Altendorf,96146,Bayern
1263905,Altenfeld,98701,Thüringen
1246622,Altenglan,66885,Rheinland-Pfalz
2876347,Altengottern,99991,Thüringen
1427896,Altenhagen,17091,Mecklenburg-Vorpommern
1286652,Altenhausen,39343,Sachsen-Anhalt
554562,Altenhof,24340,Schleswig-Holstein
1424152,Altenhof,17209,Mecklenburg-Vorpommern
554747,Altenholz,24161,Schleswig-Holstein
1252363,Altenkirchen,66903,Rheinland-Pfalz
1437950,Altenkirchen,18556,Mecklenburg-Vorpommern
418895,Altenkirchen (Westerwald),57610,Rheinland-Pfalz
382409,Altenkrempe,23730,Schleswig-Holstein
1026858,Altenkunstadt,96264,Bayern
941639,Altenmarkt an der Alz,83352,Bayern
1460228,Altenmedingen,29575,Niedersachsen
447188,Altenmoor,25335,Schleswig-Holstein
452561,Altenmünster,86450,Bayern
374185,Altenpleen,18445,Mecklenburg-Vorpommern
2796467,Altenriet,72657,Baden-Württemberg
450108,Altenstadt,63674,Hessen
936742,Altenstadt,86972,Bayern
941073,Altenstadt,89281,Bayern
1059433,Altenstadt an der Waldnaab,92665,Bayern
1174479,Altensteig,72213,Baden-Württemberg
964624,Altenthann,93177,Bayern
1427888,Altentreptow,17087,Mecklenburg-Vorpommern
1204726,Alterkülz,56288,Rheinland-Pfalz
2829503,Altersbach,98587,Thüringen
180669,Altertheim,97237,Bayern
191496,Altfraunhofen,84169,Bayern
933521,Althegnenberg,82278,Bayern
2802280,Altheim,88499,Baden-Württemberg
2803632,Altheim,89605,Baden-Württemberg
2790973,Altheim (Alb),89174,Baden-Württemberg
933498,Althengstett,75382,Baden-Württemberg
1250687,Althornbach,66484,Rheinland-Pfalz
400938,Althütte,71566,Baden-Württemberg
1318343,Althüttendorf,16247,Brandenburg
2020631,Altkalen,17179,Mecklenburg-Vorpommern
2778468,Altkirchen,04626,Thüringen
1451540,Alt Krenzlin,19288,Mecklenburg-Vorpommern
1332946,Altlandsberg,15345,Brandenburg
1269719,Altlay,56858,Rheinland-Pfalz
1249748,Altleiningen,67316,Rheinland-Pfalz
1249748,Altleiningen,67317,Rheinland-Pfalz
453415,Altlußheim,68804,Baden-Württemberg
943548,Altmannstein,93336,Bayern
1284744,Altmärkische Höhe,39606,Sachsen-Anhalt
1284744,Altmärkische Höhe,39615,Sachsen-Anhalt
1284749,Altmärkische Wische,39615,Sachsen-Anhalt
1444893,Alt Meteln,19069,Mecklenburg-Vorpommern
414485,Altmittweida,09648,Sachsen
1467346,Alt Mölln,23881,Schleswig-Holstein
167317,Altomünster,85250,Bayern
942029,Altötting,84503,Bayern
1259135,Altrich,54518,Rheinland-Pfalz
418402,Altrip,67122,Rheinland-Pfalz
1171858,Altscheid,54636,Rheinland-Pfalz
1424389,Alt Schwerin,17214,Mecklenburg-Vorpommern
2808120,Altshausen,88361,Baden-Württemberg
1269731,Altstrimmig,56858,Rheinland-Pfalz
1996945,Alt Sührkow,17166,Mecklenburg-Vorpommern
1427539,Alt Tellin,17129,Mecklenburg-Vorpommern
1332921,Alt Tucheband,15328,Brandenburg
957781,Altusried,87452,Bayern
1408065,Altwarp,17375,Mecklenburg-Vorpommern
1241628,Altweidelbach,55469,Rheinland-Pfalz
1410793,Altwigshagen,17379,Mecklenburg-Vorpommern
1451533,Alt Zachun,19230,Mecklenburg-Vorpommern
1388877,Alt Zauche-Wußwerk,15913,Brandenburg
442764,Alveslohe,25486,Schleswig-Holstein
534148,Alzenau,63755,Bayern
902672,Alzey,55232,Rheinland-Pfalz
62772,Amberg,92224,Bayern
958187,Amberg,86854,Bayern
1846190,Amelinghausen,21385,Niedersachsen
2156163,Amerang,83123,Bayern
962454,Amerdingen,86735,Bayern
1286625,Am Großen Bruch,39393,Sachsen-Anhalt
1171847,Ammeldingen an der Our,54675,Rheinland-Pfalz
1171880,Ammeldingen bei Neuerburg,54673,Rheinland-Pfalz
176780,Am Mellensee,15838,Brandenburg
2778907,Ammerbuch,72119,Baden-Württemberg
1016395,Ammerndorf,90614,Bayern
312038,Ammersbek,22949,Schleswig-Holstein
1028553,Ammerthal,92260,Bayern
2799906,Am Ohmberg,37345,Thüringen
225501,Amöneburg,35287,Hessen
393471,Amorbach,63916,Bayern
941001,Ampfing,84539,Bayern
394330,Am Salzhaff,18233,Mecklenburg-Vorpommern
2770608,Amstetten,73340,Baden-Württemberg
1851834,Amt Neuhaus,19273,Niedersachsen
422409,Amtsberg,09439,Sachsen
2666038,Amt Wachsenburg,99334,Thüringen
2808296,Amtzell,88279,Baden-Württemberg
932296,Andechs,82346,Bayern
1079012,Anderlingen,27446,Niedersachsen
541666,Andernach,56626,Rheinland-Pfalz
2402486,An der Poststraße,06647,Sachsen-Anhalt
2006684,Andervenne,49832,Niedersachsen
2411239,Andisleben,99189,Thüringen
453373,Angelbachtal,74918,Baden-Württemberg
225487,Angelburg,35719,Hessen
396220,Angelroda,99338,Thüringen
941791,Anger,83454,Bayern
1334084,Angermünde,16278,Brandenburg
1286657,Angern,39326,Sachsen-Anhalt
1286657,Angern,39517,Sachsen-Anhalt
444701,Anhausen,56584,Rheinland-Pfalz
1424417,Ankershagen,17219,Mecklenburg-Vorpommern
1432550,Anklam,17389,Mecklenburg-Vorpommern
1817198,Ankum,49577,Niedersachsen
536625,Annaberg-Buchholz,09456,Sachsen
2283775,Annaburg,06925,Sachsen-Anhalt
1252764,Annweiler am Trifels,76855,Rheinland-Pfalz
153400,Anröchte,59609,Nordrhein-Westfalen
2896623,Anrode,99976,Thüringen
62654,Ansbach,91522,Bayern
548034,Anschau,56729,Rheinland-Pfalz
936943,Antdorf,82387,Bayern
418326,Antrifttal,36326,Hessen
1060412,Antweiler,53533,Rheinland-Pfalz
929824,Anzing,85646,Bayern
1176599,Apelern,31552,Niedersachsen
1187347,Apen,26689,Niedersachsen
1285614,Apenburg-Winterfeld,38486,Sachsen-Anhalt
446434,Apensen,21641,Niedersachsen
932427,Apfeldorf,86974,Bayern
957119,Apfeltrach,87742,Bayern
2856439,Apolda,99510,Thüringen
278581,Appel,21279,Niedersachsen
443484,Appen,25482,Schleswig-Holstein
1245804,Appenheim,55437,Rheinland-Pfalz
452982,Appenweier,77767,Baden-Württemberg
1075157,Arbach,56769,Rheinland-Pfalz
534392,Arberg,91722,Bayern
1060418,Aremberg,53533,Rheinland-Pfalz
1285588,Arendsee (Altmark),39619,Sachsen-Anhalt
1259126,Arenrath,54518,Rheinland-Pfalz
2395853,Arenshausen,37318,Thüringen
943712,Aresing,86561,Bayern
548036,Arft,56729,Rheinland-Pfalz
2806737,Argenbühl,88260,Baden-Württemberg
1244212,Argenschwang,55595,Rheinland-Pfalz
1241484,Argenthal,55496,Rheinland-Pfalz
2011073,Arholzen,37627,Niedersachsen
423046,Arkebek,25767,Schleswig-Holstein
1405506,Arlewatt,25860,Schleswig-Holstein
1248409,Armsheim,55288,Rheinland-Pfalz
423191,Armstedt,24616,Schleswig-Holstein
1527157,Armstorf,21769,Niedersachsen
959155,Arnbruck,93471,Bayern
1284740,Arneburg,39596,Sachsen-Anhalt
1145353,Arnis,24399,Schleswig-Holstein
157396,Arnsberg,59755,Nordrhein-Westfalen
157396,Arnsberg,59757,Nordrhein-Westfalen
157396,Arnsberg,59759,Nordrhein-Westfalen
157396,Arnsberg,59821,Nordrhein-Westfalen
157396,Arnsberg,59823,Nordrhein-Westfalen
959922,Arnschwang,93473,Bayern
1307625,Arnsdorf,01477,Sachsen
534472,Arnshöfen,56244,Rheinland-Pfalz
393582,Arnstadt,99310,Thüringen
336476,Arnstein,97450,Bayern
2408603,Arnstein,06456,Sachsen-Anhalt
957058,Arnstorf,94424,Bayern
553601,Arpsdorf,24634,Schleswig-Holstein
959919,Arrach,93474,Bayern
2387266,Artern/Unstrut,06556,Thüringen
1388559,Artlenburg,21380,Niedersachsen
535686,Arzbach,56337,Rheinland-Pfalz
534446,Arzberg,04886,Sachsen
1022878,Arzberg,95659,Bayern
1113734,Arzfeld,54687,Rheinland-Pfalz
443469,Asbach,53567,Rheinland-Pfalz
1245096,Asbach,55758,Rheinland-Pfalz
562971,Asbach-Bäumenheim,86663,Bayern
2813820,Asbach-Sickenberg,37318,Thüringen
959656,Ascha,94347,Bayern
62532,Aschaffenburg,63739,Bayern
62532,Aschaffenburg,63741,Bayern
62532,Aschaffenburg,63743,Bayern
941055,Aschau am Inn,84544,Bayern
2186909,Aschau im Chiemgau,83229,Bayern
1246671,Aschbach,67753,Rheinland-Pfalz
157717,Ascheberg,59387,Nordrhein-Westfalen
310405,Ascheberg,24326,Schleswig-Holstein
548614,Ascheffel,24358,Schleswig-Holstein
2831105,Aschenhausen,98634,Thüringen
79801,Aschersleben,06449,Sachsen-Anhalt
2168238,Aschheim,85609,Bayern
306573,Asendorf,21271,Niedersachsen
1461193,Asendorf,27330,Niedersachsen
400932,Aspach,71546,Baden-Württemberg
405809,Asperg,71679,Baden-Württemberg
1239627,Aspisheim,55459,Rheinland-Pfalz
402686,Assamstadt,97959,Baden-Württemberg
2791715,Asselfingen,89176,Baden-Württemberg
215977,Aßlar,35614,Hessen
929921,Aßling,85617,Bayern
453151,Astert,57627,Rheinland-Pfalz
163178,Attendorn,57439,Nordrhein-Westfalen
540056,Attenhausen,56370,Rheinland-Pfalz
956663,Attenhofen,84091,Bayern
29830,Attenkirchen,85395,Bayern
2801345,Attenweiler,88448,Baden-Württemberg
959671,Atting,94348,Bayern
453152,Atzelgift,57629,Rheinland-Pfalz
1946230,Au,79280,Baden-Württemberg
907190,Au am Rhein,76474,Baden-Württemberg
162693,Aub,97239,Bayern
387526,Aubstadt,97633,Bayern
1269806,Auderath,56766,Rheinland-Pfalz
419002,Aue,08280,Sachsen
539909,Auel,56357,Rheinland-Pfalz
1244153,Auen,55569,Rheinland-Pfalz
1263898,Auengrund,98673,Thüringen
400935,Auenwald,71549,Baden-Württemberg
536016,Auerbach,09392,Sachsen
959825,Auerbach,94530,Bayern
1028547,Auerbach in der Oberpfalz,91275,Bayern
444398,Auerbach/Vogtland,08209,Sachsen
1169353,Auetal,31749,Niedersachsen
966625,Aufhausen,93089,Bayern
1070999,Aufseß,91347,Bayern
1965078,Auggen,79424,Baden-Württemberg
62407,Augsburg,86150,Bayern
62407,Augsburg,86152,Bayern
62407,Augsburg,86153,Bayern
62407,Augsburg,86154,Bayern
62407,Augsburg,86156,Bayern
62407,Augsburg,86157,Bayern
62407,Augsburg,86159,Bayern
62407,Augsburg,86161,Bayern
62407,Augsburg,86163,Bayern
62407,Augsburg,86165,Bayern
62407,Augsburg,86167,Bayern
62407,Augsburg,86169,Bayern
62407,Augsburg,86179,Bayern
62407,Augsburg,86199,Bayern
142752,Augustdorf,32832,Nordrhein-Westfalen
378773,Augustusburg,09573,Sachsen
1182471,Auhagen,31553,Niedersachsen
962601,Auhausen,86736,Bayern
29823,Au in der Hallertau,84072,Bayern
556088,Aukrug,24613,Schleswig-Holstein
2808122,Aulendorf,88326,Baden-Württemberg
537134,Aull,65582,Rheinland-Pfalz
2783122,Auma-Weidatal,07955,Thüringen
324694,Aumühle,21521,Schleswig-Holstein
383696,Aura a.d.Saale,97717,Bayern
534187,Aurach,91589,Bayern
1016525,Aurachtal,91086,Bayern
349932,Aura im Sinngrund,97773,Bayern
898628,Aurich,26603,Niedersachsen
898628,Aurich,26605,Niedersachsen
898628,Aurich,26607,Niedersachsen
1149284,Ausacker,24975,Schleswig-Holstein
1286666,Ausleben,39393,Sachsen-Anhalt
959813,Außernzell,94532,Bayern
450514,Auufer,25548,Schleswig-Holstein
1162782,Auw an der Kyll,54664,Rheinland-Pfalz
1108037,Auw bei Prüm,54597,Rheinland-Pfalz
1418654,Aventoft,25927,Schleswig-Holstein
938073,Averlak,25715,Schleswig-Holstein
904552,Axstedt,27729,Niedersachsen
539953,Aying,85653,Bayern
1256023,Ayl,54441,Rheinland-Pfalz
443333,Aystetten,86482,Bayern
1437797,Baabe,18586,Mecklenburg-Vorpommern
161965,Baar,86674,Bayern
548035,Baar,56729,Rheinland-Pfalz
387301,Baar-Ebenhausen,85107,Bayern
452387,Babenhausen,64832,Hessen
958621,Babenhausen,87727,Bayern
2186910,Babensham,83547,Bayern
966624,Bach an der Donau,93090,Bayern
1239652,Bacharach,55422,Rheinland-Pfalz
418891,Bachenberg,57610,Rheinland-Pfalz
1273185,Bachfeld,96528,Thüringen
955236,Bachhagel,89429,Bayern
956749,Bächingen a.d.Brenz,89431,Bayern
165637,Backnang,71522,Baden-Württemberg
956650,Bad Abbach,93077,Bayern
2186911,Bad Aibling,83043,Bayern
1022866,Bad Alexandersbad,95680,Bayern
162356,Bad Arolsen,34454,Hessen
937778,Bad Bayersoien,82435,Bayern
1130288,Bad Bellingen,79415,Baden-Württemberg
540424,Bad Belzig,14806,Brandenburg
1272230,Bad Bentheim,48455,Niedersachsen
1817279,Badbergen,49635,Niedersachsen
1252824,Bad Bergzabern,76887,Rheinland-Pfalz
2856985,Bad Berka,99438,Thüringen
1891507,Bad Berleburg,57319,Nordrhein-Westfalen
1070989,Bad Berneck im Fichtelgebirge,95460,Bayern
1269808,Bad Bertrich,56864,Rheinland-Pfalz
1460241,Bad Bevensen,29549,Niedersachsen
2402429,Bad Bibra,06647,Sachsen-Anhalt
957047,Bad Birnbach,84364,Bayern
1273350,Bad Blankenburg,07422,Thüringen
383699,Bad Bocklet,97708,Bayern
1250039,Bad Bodenteich,29389,Niedersachsen
2792631,Bad Boll,73087,Baden-Württemberg
443526,Bad Brambach,08648,Sachsen
423223,Bad Bramstedt,24576,Schleswig-Holstein
1022829,Bad Breisig,53498,Rheinland-Pfalz
384270,Bad Brückenau,97769,Bayern
2801316,Bad Buchau,88422,Baden-Württemberg
324314,Bad Camberg,65520,Hessen
1270319,Bad Colberg-Heldburg,98663,Thüringen
1432674,Baddeckenstedt,38271,Niedersachsen
2772178,Bad Ditzenbach,73312,Baden-Württemberg
2772178,Bad Ditzenbach,73342,Baden-Württemberg
2772178,Bad Ditzenbach,73345,Baden-Württemberg
394348,Bad Doberan,18209,Mecklenburg-Vorpommern
148591,Bad Driburg,33014,Nordrhein-Westfalen
445993,Bad Düben,04849,Sachsen
907045,Bad Dürkheim,67098,Rheinland-Pfalz
2405940,Bad Dürrenberg,06231,Sachsen-Anhalt
1242133,Bad Dürrheim,78073,Baden-Württemberg
1182505,Bad Eilsen,31707,Niedersachsen
443527,Bad Elster,08645,Sachsen
1140558,Badem,54657,Rheinland-Pfalz
535689,Bad Ems,56130,Rheinland-Pfalz
453738,Bad Emstal,34308,Hessen
62340,Baden-Baden,76530,Baden-Württemberg
62340,Baden-Baden,76532,Baden-Württemberg
62340,Baden-Baden,76534,Baden-Württemberg
225491,Bad Endbach,35080,Hessen
532398,Badendorf,23619,Schleswig-Holstein
2186912,Bad Endorf,83093,Bayern
1182320,Badenhard,56291,Rheinland-Pfalz
1245782,Badenheim,55576,Rheinland-Pfalz
311915,Badenweiler,79410,Baden-Württemberg
1819247,Bad Essen,49152,Niedersachsen
1808964,Bad Fallingbostel,29683,Niedersachsen
2186913,Bad Feilnbach,83075,Bayern
2388467,Bad Frankenhausen/Kyffhäuser,06567,Thüringen
1332952,Bad Freienwalde (Oder),16259,Brandenburg
409716,Bad Friedrichshall,74177,Baden-Württemberg
958089,Bad Füssing,94072,Bayern
163003,Bad Gandersheim,37581,Niedersachsen
534518,Bad Gottleuba-Berggießhübel,01816,Sachsen
958091,Bad Griesbach i.Rottal,94086,Bayern
958686,Bad Grönenbach,87730,Bayern
1416141,Bad Grund,37539,Niedersachsen
1421451,Bad Harzburg,38667,Niedersachsen
935232,Bad Heilbrunn,83670,Bayern
309849,Bad Herrenalb,76332,Baden-Württemberg
275075,Bad Hersfeld,36251,Hessen
958126,Bad Hindelang,87541,Bayern
338875,Bad Homburg vor der Höhe,61348,Hessen
338875,Bad Homburg vor der Höhe,61350,Hessen
338875,Bad Homburg vor der Höhe,61352,Hessen
173112,Bad Honnef,53604,Nordrhein-Westfalen
444290,Bad Hönningen,53547,Rheinland-Pfalz
444290,Bad Hönningen,53557,Rheinland-Pfalz
1819469,Bad Iburg,49186,Niedersachsen
1112227,Bad Karlshafen,34385,Hessen
383698,Bad Kissingen,97688,Bayern
1515589,Bad Kleinen,23996,Mecklenburg-Vorpommern
2778356,Bad Klosterlausnitz,07639,Thüringen
937894,Bad Kohlgrub,82433,Bayern
451777,Bad König,64732,Hessen
387529,Bad Königshofen im Grabfeld,97631,Bayern
2501390,Bad Köstritz,07586,Thüringen
959885,Bad Kötzting,93444,Bayern
611084,Bad Kreuznach,55543,Rheinland-Pfalz
611084,Bad Kreuznach,55545,Rheinland-Pfalz
611084,Bad Kreuznach,55583,Rheinland-Pfalz
1959388,Bad Krozingen,79189,Baden-Württemberg
163247,Bad Laasphe,57334,Nordrhein-Westfalen
1418992,Bad Laer,49196,Niedersachsen
2874751,Bad Langensalza,99947,Thüringen
422335,Bad Lausick,04651,Sachsen
1416144,Bad Lauterberg,37431,Niedersachsen
2498094,Bad Liebenstein,36448,Thüringen
1328907,Bad Liebenwerda,04895,Brandenburg
1328907,Bad Liebenwerda,04924,Brandenburg
1328907,Bad Liebenwerda,04931,Brandenburg
911760,Bad Liebenzell,75378,Baden-Württemberg
148066,Bad Lippspringe,33175,Nordrhein-Westfalen
2179147,Bad Lobenstein,07356,Thüringen
451701,Bad Marienberg (Westerwald),56470,Rheinland-Pfalz
402687,Bad Mergentheim,97980,Baden-Württemberg
367045,Bad Münder am Deister,31848,Niedersachsen
158145,Bad Münstereifel,53902,Nordrhein-Westfalen
1310515,Bad Muskau - Mužakow,02953,Sachsen
167408,Bad Nauheim,61231,Hessen
1169366,Bad Nenndorf,31542,Niedersachsen
378389,Bad Neuenahr-Ahrweiler,53474,Rheinland-Pfalz
387466,Bad Neustadt an der Saale,97616,Bayern
144930,Bad Oeynhausen,32545,Nordrhein-Westfalen
144930,Bad Oeynhausen,32547,Nordrhein-Westfalen
144930,Bad Oeynhausen,32549,Nordrhein-Westfalen
532325,Bad Oldesloe,23843,Schleswig-Holstein
535933,Bad Orb,63619,Hessen
452986,Bad Peterstal-Griesbach,72250,Baden-Württemberg
452986,Bad Peterstal-Griesbach,77740,Baden-Württemberg
1184314,Bad Pyrmont,31812,Niedersachsen
